Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
053;Göttingen I;03;Christlich Demokratische Union Deutschlands;210202;;;;175553;;;;1348;;;;174205;;;;44623;;;;50736;;;;26771;;;;6321;;;;24753;;;;;;;;15935;;;;2217;;;;;;;;;;;;;;;;;;;;;;;;2557;;;;;;;;;;;;;;;;;;;;;;;;;;;;292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03;Niedersachsen;99;;6043412;;;;5041312;;;;36097;;;;5005215;;;;1469704;;;;1558417;;;;487326;;;;148320;;;;881225;;;;;;;;321569;;;;68432;;;;7649;;;;4126;;;;4541;;;;;;;;2151;;;;40077;;;;;;;;;;;;;;;;;;;;;;;;;;;;1334;;;;;;;;;;;;;;;;;;;;4332;;;;;;;;;;;;;;;;6012;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
054;Bremen I;04;–;239863;;;;194761;;;;1634;;;;193127;;;;48663;;;;46309;;;;36571;;;;5594;;;;22752;;;;;;;;25810;;;;;;;;;;;;;;;;2227;;;;;;;;;;;;3400;;;;;;;;;;;;;;;;;;;;;;;;;;;;282;;;;;;;;;;;;;;;;;;;;800;;;;;;;;;;;;;;;;719;;;;
055;Bremen II – Bremerhaven;04;Sozialdemokratische Partei Deutschlands;210701;;;;155605;;;;1652;;;;153953;;;;46604;;;;32364;;;;16716;;;;4070;;;;29886;;;;;;;;18598;;;;1758;;;;;;;;;;;;;;;;;;;;;;;;2336;;;;;;;;;;;;;;;;;;;;;;;;;;;;454;;;;;;;;;;;;;;;;;;;;1167;;;;;;;;;;;;;;;;;;;;
04;Bremen;99;;450564;;;;350366;;;;3286;;;;347080;;;;95267;;;;78673;;;;53287;;;;9664;;;;52638;;;;;;;;44408;;;;1758;;;;;;;;;;;;2227;;;;;;;;;;;;5736;;;;;;;;;;;;;;;;;;;;;;;;;;;;736;;;;;;;;;;;;;;;;;;;;1967;;;;;;;;;;;;;;;;719;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
056;Prignitz – Ostprignitz-Ruppin – Havelland I;12;Alternative für Deutschland;169648;;;;133142;;;;1418;;;;131724;;;;29296;;;;25868;;;;4033;;;;2847;;;;51213;;;;;;;;13871;;;;4596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
057;Uckermark – Barnim I;12;Alternative für Deutschland;180128;;;;142115;;;;1532;;;;140583;;;;27211;;;;25664;;;;5459;;;;3322;;;;53912;;;;;;;;17198;;;;5177;;;;;;;;;;;;2640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
058;Oberhavel – Havelland II;12;–;251733;;;;211139;;;;1823;;;;209316;;;;41825;;;;52000;;;;13889;;;;6039;;;;64557;;;;;;;;19832;;;;6805;;;;;;;;;;;;4369;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
059;Märkisch-Oderland – Barnim II;12;Alternative für Deutschland;231598;;;;193015;;;;1890;;;;191125;;;;35789;;;;34599;;;;7625;;;;4692;;;;69020;;;;;;;;25447;;;;6648;;;;;;;;;;;;3047;;;;;;;;;;;;2066;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2192;;;;;;;;;;;;;;;;;;;;
060;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12;Alternative für Deutschland;201899;;;;161157;;;;1806;;;;159351;;;;41062;;;;30938;;;;5956;;;;3717;;;;53611;;;;;;;;17349;;;;4803;;;;;;;;;;;;;;;;;;;;;;;;1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
061;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12;Sozialdemokratische Partei Deutschlands;234264;;;;200726;;;;1615;;;;199111;;;;43332;;;;40956;;;;31629;;;;7959;;;;37796;;;;;;;;27522;;;;3905;;;;;;;;;;;;;;;;;;;;;;;;3404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1372;;;;;;;;;;;;;;;;1236;;;;
062;Dahme-Spreewald – Teltow-Fläming III;12;Alternative für Deutschland;241186;;;;200748;;;;1957;;;;198791;;;;35055;;;;47405;;;;10248;;;;4967;;;;66815;;;;;;;;22422;;;;5510;;;;;;;;;;;;3126;;;;;;;;;;;;2151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1092;;;;
063;Frankfurt (Oder) – Oder-Spree;12;Alternative für Deutschland;187968;;;;149773;;;;1569;;;;148204;;;;30831;;;;27858;;;;4463;;;;3528;;;;56620;;;;;;;;16788;;;;5726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2390;;;;
064;Cottbus – Spree-Neiße;12;Alternative für Deutschland;165945;;;;132378;;;;1468;;;;130910;;;;30552;;;;22712;;;;;;;;3558;;;;54980;;;;;;;;12818;;;;2882;;;;;;;;;;;;2257;;;;;;;;;;;;1151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
065;Elbe-Elster – Oberspreewald-Lausitz;12;Alternative für Deutschland;169170;;;;134488;;;;1410;;;;133078;;;;22087;;;;24331;;;;2704;;;;3822;;;;57194;;;;;;;;15935;;;;7005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Brandenburg;99;;2033539;;;;1658681;;;;16488;;;;1642193;;;;337040;;;;332331;;;;86006;;;;44451;;;;565718;;;;;;;;189182;;;;53057;;;;;;;;;;;;15439;;;;;;;;;;;;10687;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3564;;;;;;;;;;;;;;;;4718;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
066;Altmark – Jerichower Land;15;Alternative für Deutschland;227996;;;;178476;;;;2270;;;;176206;;;;28276;;;;38820;;;;4852;;;;6047;;;;69054;;;;;;;;22147;;;;7010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
067;Börde – Salzlandkreis;15;Alternative für Deutschland;217023;;;;170433;;;;2228;;;;168205;;;;22895;;;;37609;;;;3745;;;;4608;;;;72651;;;;;;;;17753;;;;4738;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2365;;;;;;;;;;;;;;;;1841;;;;
068;Harz;15;Alternative für Deutschland;200219;;;;154033;;;;2012;;;;152021;;;;21243;;;;35708;;;;4958;;;;3405;;;;59302;;;;;;;;18076;;;;4379;;;;;;;;;;;;2332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2618;;;;;;;;;;;;;;;;;;;;
069;Magdeburg;15;Alternative für Deutschland;222983;;;;174468;;;;2420;;;;172048;;;;29617;;;;39726;;;;10305;;;;4647;;;;55457;;;;;;;;25560;;;;3984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;843;;;;;;;;;;;;;;;;;;;;1909;;;;;;;;;;;;;;;;;;;;
070;Anhalt – Dessau – Wittenberg;15;Alternative für Deutschland;227853;;;;176302;;;;1984;;;;174318;;;;18255;;;;51474;;;;8426;;;;3715;;;;67245;;;;;;;;17745;;;;7458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
071;Halle;15;–;224552;;;;173599;;;;2109;;;;171490;;;;30798;;;;38174;;;;9366;;;;5045;;;;52546;;;;;;;;27804;;;;2866;;;;;;;;;;;;2806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;496;;;;;;;;;;;;;;;;;;;;1589;;;;;;;;;;;;;;;;;;;;
072;Burgenland – Saalekreis;15;Alternative für Deutschland;203597;;;;157343;;;;1753;;;;155590;;;;15653;;;;37721;;;;3752;;;;4612;;;;69074;;;;;;;;17034;;;;6315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1429;;;;
073;Mansfeld;15;Alternative für Deutschland;210496;;;;163183;;;;2517;;;;160666;;;;17214;;;;34087;;;;3195;;;;5524;;;;70305;;;;;;;;19699;;;;5613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5029;;;;
15;Sachsen-Anhalt;99;;1734719;;;;1347837;;;;17293;;;;1330544;;;;183951;;;;313319;;;;48599;;;;37603;;;;515634;;;;;;;;165818;;;;42363;;;;;;;;;;;;5138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1339;;;;;;;;;;;;;;;;;;;;8481;;;;;;;;;;;;;;;;8299;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
074;Berlin-Mitte;11;BÜNDNIS 90/DIE GRÜNEN;207445;;;;161865;;;;1043;;;;160822;;;;26816;;;;22933;;;;40672;;;;4586;;;;13706;;;;;;;;38521;;;;471;;;;1808;;;;;;;;1485;;;;749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;131;;;;;;;;;;;;73;;;;;;;;201;;;;8012;;;;658;;;;;;;;;;;;
075;Berlin-Pankow;11;BÜNDNIS 90/DIE GRÜNEN;235392;;;;199072;;;;2259;;;;196813;;;;26106;;;;31918;;;;50854;;;;5407;;;;33179;;;;;;;;45010;;;;2357;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;812;;;;1170;;;;;;;;;;;;;;;;;;;;
076;Berlin-Reinickendorf;11;Christlich Demokratische Union Deutschlands;172428;;;;134126;;;;1776;;;;132350;;;;28956;;;;40867;;;;17136;;;;4737;;;;23866;;;;;;;;15584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1204;;;;;;;;;;;;;;;;;;;;
077;Berlin-Spandau – Charlottenburg Nord;11;Sozialdemokratische Partei Deutschlands;176536;;;;133309;;;;1789;;;;131520;;;;36200;;;;34305;;;;12217;;;;4283;;;;25931;;;;;;;;15044;;;;;;;;;;;;;;;;3128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;412;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
078;Berlin-Steglitz-Zehlendorf;11;Christlich Demokratische Union Deutschlands;214757;;;;181883;;;;1694;;;;180189;;;;40355;;;;55398;;;;39843;;;;7382;;;;18539;;;;;;;;15823;;;;1905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;944;;;;;;;;;;;;;;;;;;;;
079;Berlin-Charlottenburg-Wilmersdorf;11;Christlich Demokratische Union Deutschlands;195504;;;;162287;;;;1300;;;;160987;;;;38187;;;;42273;;;;38681;;;;7063;;;;13870;;;;;;;;17861;;;;;;;;;;;;;;;;2477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;575;;;;;;;;;;;;;;;;;;;;
080;Berlin-Tempelhof-Schöneberg;11;BÜNDNIS 90/DIE GRÜNEN;229238;;;;186838;;;;1820;;;;185018;;;;37934;;;;45573;;;;45639;;;;4986;;;;20626;;;;;;;;22399;;;;;;;;4467;;;;;;;;;;;;1810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233;;;;532;;;;;;;;;;;;;;;;819;;;;
081;Berlin-Neukölln;11;Die Linke;192506;;;;146236;;;;1399;;;;144837;;;;27266;;;;28487;;;;16136;;;;2791;;;;18893;;;;;;;;43413;;;;831;;;;2654;;;;;;;;1335;;;;2135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;262;;;;;;;;;;;;;;;;;;;;506;;;;;;;;;;;;;;;;128;;;;
082;Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost;11;Die Linke;218729;;;;180869;;;;1812;;;;179057;;;;23519;;;;17940;;;;54771;;;;4277;;;;13854;;;;;;;;62049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;934;;;;;;;;;;;;;;;;1713;;;;
083;Berlin-Treptow-Köpenick;11;Die Linke;206841;;;;169802;;;;1122;;;;168680;;;;14472;;;;23747;;;;8081;;;;2961;;;;34646;;;;;;;;70572;;;;892;;;;3235;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;113;;;;;;;;;;;;;;;;100;;;;367;;;;9494;;;;;;;;;;;;;;;;
084;Berlin-Marzahn-Hellersdorf;11;Alternative für Deutschland;195867;;;;149493;;;;1288;;;;148205;;;;12926;;;;43262;;;;6093;;;;1871;;;;43729;;;;;;;;24895;;;;1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;326;;;;;;;;;;;;;;;;;;;;515;;;;12754;;;;;;;;;;;;;;;;
085;Berlin-Lichtenberg;11;Die Linke;196799;;;;155397;;;;1237;;;;154160;;;;13926;;;;27190;;;;8108;;;;2231;;;;33707;;;;;;;;52378;;;;851;;;;3576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;516;;;;11527;;;;;;;;;;;;;;;;
11;Berlin;99;;2442042;;;;1961177;;;;18539;;;;1942638;;;;326663;;;;413893;;;;338231;;;;52575;;;;294546;;;;;;;;423549;;;;9141;;;;15740;;;;;;;;8425;;;;4694;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1244;;;;;;;;;;;;73;;;;1295;;;;7464;;;;41787;;;;658;;;;;;;;2660;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
086;Aachen I;05;Christlich Demokratische Union Deutschlands;172442;;;;143853;;;;2901;;;;140952;;;;27722;;;;45548;;;;39377;;;;5916;;;;;;;;;;;;13162;;;;3338;;;;;;;;;;;;;;;;;;;;;;;;3211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2678;;;;;;;;;;;;;;;;;;;;
087;Aachen II;05;Christlich Demokratische Union Deutschlands;224835;;;;182361;;;;6363;;;;175998;;;;53747;;;;70541;;;;13269;;;;8191;;;;;;;;;;;;13330;;;;12919;;;;;;;;;;;;;;;;;;;;;;;;4001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
088;Heinsberg;05;Christlich Demokratische Union Deutschlands;192359;;;;157150;;;;1595;;;;155555;;;;29813;;;;64624;;;;11797;;;;4679;;;;30784;;;;;;;;8959;;;;2804;;;;;;;;;;;;;;;;;;;;;;;;2095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
089;Düren;05;Christlich Demokratische Union Deutschlands;199301;;;;164552;;;;1452;;;;163100;;;;35854;;;;64996;;;;12153;;;;4591;;;;33137;;;;;;;;9105;;;;3264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
090;Rhein-Erft-Kreis I;05;Christlich Demokratische Union Deutschlands;247391;;;;207151;;;;1795;;;;205356;;;;53545;;;;71833;;;;20977;;;;7550;;;;34348;;;;;;;;13218;;;;2567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1318;;;;;;;;;;;;;;;;;;;;
091;Euskirchen – Rhein-Erft-Kreis II;05;Christlich Demokratische Union Deutschlands;248663;;;;207572;;;;2052;;;;205520;;;;42466;;;;78883;;;;19549;;;;8498;;;;37837;;;;;;;;11457;;;;2885;;;;;;;;;;;;;;;;;;;;;;;;2860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1085;;;;;;;;;;;;;;;;;;;;
092;Köln I;05;Sozialdemokratische Partei Deutschlands;190951;;;;153110;;;;1515;;;;151595;;;;37717;;;;37261;;;;30496;;;;4672;;;;20022;;;;;;;;16894;;;;1488;;;;;;;;;;;;;;;;;;;;;;;;2698;;;;;;;;;;;;;;;;;;;;;;;;;;;;347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
093;Köln II;05;BÜNDNIS 90/DIE GRÜNEN;243912;;;;214600;;;;1213;;;;213387;;;;35124;;;;59925;;;;72858;;;;8061;;;;12775;;;;;;;;18454;;;;881;;;;;;;;;;;;;;;;;;;;;;;;4534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;567;;;;;;;;;;;;;;;;208;;;;
094;Köln III;05;BÜNDNIS 90/DIE GRÜNEN;206670;;;;169136;;;;1314;;;;167822;;;;43307;;;;32639;;;;43697;;;;4773;;;;19459;;;;;;;;18806;;;;1322;;;;;;;;;;;;;;;;;;;;;;;;3074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
095;Bonn;05;Christlich Demokratische Union Deutschlands;228194;;;;193699;;;;1647;;;;192052;;;;41577;;;;63973;;;;46819;;;;4737;;;;15681;;;;;;;;14776;;;;935;;;;;;;;;;;;;;;;;;;;;;;;3017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
096;Rhein-Sieg-Kreis I;05;Christlich Demokratische Union Deutschlands;238140;;;;199347;;;;1751;;;;197596;;;;44274;;;;70350;;;;22219;;;;8438;;;;34564;;;;;;;;11331;;;;3319;;;;;;;;;;;;;;;;;;;;;;;;3101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
097;Rhein-Sieg-Kreis II;05;Christlich Demokratische Union Deutschlands;214269;;;;183163;;;;1428;;;;181735;;;;32287;;;;79639;;;;23157;;;;5879;;;;25832;;;;;;;;9768;;;;2139;;;;;;;;;;;;;;;;;;;;;;;;3034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
098;Oberbergischer Kreis;05;Christlich Demokratische Union Deutschlands;204353;;;;169819;;;;1559;;;;168260;;;;34869;;;;62100;;;;14813;;;;5476;;;;36265;;;;;;;;10064;;;;2914;;;;;;;;;;;;;;;;;;;;;;;;1759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
099;Rheinisch-Bergischer Kreis;05;Christlich Demokratische Union Deutschlands;214554;;;;184312;;;;1155;;;;183157;;;;34424;;;;77301;;;;25245;;;;9054;;;;22758;;;;;;;;9309;;;;1692;;;;;;;;;;;;;;;;;;;;;;;;2529;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845;;;;;;;;;;;;;;;;;;;;
100;Leverkusen – Köln IV;05;Sozialdemokratische Partei Deutschlands;206279;;;;165366;;;;1595;;;;163771;;;;53574;;;;41855;;;;18081;;;;5102;;;;25439;;;;;;;;14848;;;;1984;;;;;;;;;;;;;;;;;;;;;;;;2558;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Wuppertal I;05;Sozialdemokratische Partei Deutschlands;196546;;;;153114;;;;1442;;;;151672;;;;50907;;;;36841;;;;13033;;;;4563;;;;27707;;;;;;;;13852;;;;1805;;;;;;;;;;;;;;;;;;;;;;;;1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1051;;;;
102;Solingen – Remscheid – Wuppertal II;05;Christlich Demokratische Union Deutschlands;216618;;;;173656;;;;1511;;;;172145;;;;47237;;;;55860;;;;14997;;;;5555;;;;31911;;;;;;;;12886;;;;;;;;;;;;;;;;;;;;;;;;;;;;2646;;;;;;;;;;;;;;;;;;;;;;;;;;;;429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;624;;;;
103;Mettmann I;05;Christlich Demokratische Union Deutschlands;200860;;;;167587;;;;1365;;;;166222;;;;37459;;;;60813;;;;20705;;;;7482;;;;26187;;;;;;;;10713;;;;;;;;;;;;;;;;;;;;;;;;;;;;2863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Mettmann II;05;Christlich Demokratische Union Deutschlands;156872;;;;129847;;;;1221;;;;128626;;;;32169;;;;46152;;;;14237;;;;5007;;;;22097;;;;;;;;8542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;422;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Düsseldorf I;05;Christlich Demokratische Union Deutschlands;224445;;;;187057;;;;1392;;;;185665;;;;39356;;;;67108;;;;32269;;;;9883;;;;18227;;;;;;;;13321;;;;1026;;;;;;;;;;;;;;;;;;;;;;;;3344;;;;;;;;;;;;;;;;;;;;;;;;;;;;292;;;;;;;;;;;;;;;;;;;;839;;;;;;;;;;;;;;;;;;;;
106;Düsseldorf II;05;Christlich Demokratische Union Deutschlands;188875;;;;151908;;;;1303;;;;150605;;;;34739;;;;43282;;;;27347;;;;6250;;;;19574;;;;;;;;14024;;;;934;;;;;;;;;;;;;;;;;;;;;;;;2641;;;;;;;;;;;;;;;;;;;;;;;;;;;;366;;;;;;;;;;;;;;;;;;;;729;;;;;;;;;;;;719;;;;;;;;
107;Neuss I;05;Christlich Demokratische Union Deutschlands;210819;;;;173161;;;;1601;;;;171560;;;;46410;;;;62250;;;;14559;;;;7267;;;;29039;;;;;;;;12035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Mönchengladbach;05;Christlich Demokratische Union Deutschlands;181209;;;;140063;;;;1616;;;;138447;;;;36259;;;;50331;;;;13648;;;;4555;;;;25280;;;;;;;;;;;;1478;;;;;;;;;;;;3453;;;;;;;;;;;;2167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;917;;;;;;;;;;;;359;;;;;;;;
109;Krefeld I – Neuss II;05;Christlich Demokratische Union Deutschlands;196586;;;;164150;;;;1470;;;;162680;;;;36512;;;;61543;;;;17840;;;;8910;;;;23769;;;;;;;;10838;;;;3268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Viersen;05;Christlich Demokratische Union Deutschlands;223739;;;;185834;;;;1682;;;;184152;;;;38071;;;;73676;;;;19438;;;;7317;;;;29425;;;;;;;;11337;;;;2510;;;;;;;;;;;;;;;;;;;;;;;;2378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Kleve;05;Christlich Demokratische Union Deutschlands;223650;;;;182375;;;;1351;;;;181024;;;;39191;;;;74631;;;;16447;;;;6098;;;;28974;;;;;;;;10755;;;;2429;;;;;;;;;;;;;;;;;;;;;;;;2499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
