Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
112;Wesel I;05;Christlich Demokratische Union Deutschlands;204087;;;;170433;;;;1398;;;;169035;;;;47432;;;;58854;;;;13786;;;;6123;;;;29375;;;;;;;;10275;;;;2154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1036;;;;;;;;;;;;;;;;;;;;
113;Krefeld II – Wesel II;05;Christlich Demokratische Union Deutschlands;173314;;;;140222;;;;1253;;;;138969;;;;41999;;;;44412;;;;12133;;;;4841;;;;23421;;;;;;;;8552;;;;1829;;;;;;;;;;;;;;;;;;;;;;;;1782;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Duisburg I;05;Sozialdemokratische Partei Deutschlands;159961;;;;127170;;;;1297;;;;125873;;;;49116;;;;27748;;;;9830;;;;3081;;;;22224;;;;;;;;10805;;;;1378;;;;;;;;;;;;;;;;;;;;;;;;1389;;;;;;;;;;;;;;;;;;;;;;;;;;;;302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Duisburg II;05;Sozialdemokratische Partei Deutschlands;152391;;;;111847;;;;1417;;;;110430;;;;36731;;;;21791;;;;7599;;;;2394;;;;29445;;;;;;;;9976;;;;1575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;;
116;Oberhausen – Wesel III;05;Sozialdemokratische Partei Deutschlands;193877;;;;155814;;;;1507;;;;154307;;;;48434;;;;41519;;;;12638;;;;4456;;;;32461;;;;;;;;12062;;;;;;;;;;;;;;;;;;;;2096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Mülheim – Essen I;05;Sozialdemokratische Partei Deutschlands;177448;;;;145633;;;;1277;;;;144356;;;;47047;;;;41707;;;;13280;;;;4958;;;;25140;;;;;;;;9854;;;;2370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Essen II;05;Sozialdemokratische Partei Deutschlands;152295;;;;114166;;;;1243;;;;112923;;;;34227;;;;27842;;;;9316;;;;2683;;;;26058;;;;;;;;10655;;;;1681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;461;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Essen III;05;Christlich Demokratische Union Deutschlands;186492;;;;157566;;;;1400;;;;156166;;;;38546;;;;55807;;;;24617;;;;4835;;;;18563;;;;;;;;11667;;;;1751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Recklinghausen I;05;Sozialdemokratische Partei Deutschlands;161611;;;;129034;;;;991;;;;128043;;;;42356;;;;36875;;;;8686;;;;3278;;;;25912;;;;;;;;7544;;;;1096;;;;;;;;;;;;2074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Recklinghausen II;05;Christlich Demokratische Union Deutschlands;182424;;;;147462;;;;1306;;;;146156;;;;42454;;;;46217;;;;10574;;;;3419;;;;30367;;;;;;;;8501;;;;1891;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;357;;;;;;;;;;;;;;;;;;;;644;;;;;;;;;;;;;;;;1732;;;;
122;Gelsenkirchen;05;Sozialdemokratische Partei Deutschlands;164673;;;;122676;;;;1223;;;;121453;;;;38118;;;;28051;;;;7379;;;;4038;;;;31302;;;;;;;;10246;;;;1720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Steinfurt I – Borken I;05;Christlich Demokratische Union Deutschlands;201685;;;;168635;;;;1062;;;;167573;;;;38037;;;;70066;;;;15800;;;;5775;;;;25233;;;;;;;;10029;;;;2633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Bottrop – Recklinghausen III;05;Christlich Demokratische Union Deutschlands;195336;;;;157959;;;;1340;;;;156619;;;;46276;;;;49625;;;;10249;;;;4185;;;;32869;;;;;;;;8927;;;;1810;;;;;;;;;;;;2426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Borken II;05;Christlich Demokratische Union Deutschlands;200973;;;;172498;;;;1175;;;;171323;;;;33511;;;;82000;;;;16486;;;;5043;;;;22179;;;;;;;;8742;;;;3362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;Coesfeld – Steinfurt II;05;Christlich Demokratische Union Deutschlands;194072;;;;169671;;;;1142;;;;168529;;;;34152;;;;76819;;;;21571;;;;5338;;;;20615;;;;;;;;7708;;;;;;;;;;;;;;;;;;;;;;;;;;;;2326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;Steinfurt III;05;Christlich Demokratische Union Deutschlands;194178;;;;165562;;;;1094;;;;164468;;;;41397;;;;62253;;;;19383;;;;4874;;;;25484;;;;;;;;9868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1209;;;;
128;Münster;05;BÜNDNIS 90/DIE GRÜNEN;237654;;;;207991;;;;1176;;;;206815;;;;42553;;;;58996;;;;64528;;;;6779;;;;13426;;;;;;;;14083;;;;;;;;;;;;;;;;2642;;;;;;;;;;;;3808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;Warendorf;05;Christlich Demokratische Union Deutschlands;207690;;;;175926;;;;1399;;;;174527;;;;36247;;;;72720;;;;18940;;;;5119;;;;27935;;;;;;;;9798;;;;3768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Gütersloh I;05;Christlich Demokratische Union Deutschlands;232757;;;;192669;;;;1767;;;;190902;;;;40229;;;;79373;;;;17268;;;;5942;;;;32673;;;;;;;;10489;;;;2489;;;;;;;;;;;;;;;;;;;;;;;;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;473;;;;
131;Bielefeld – Gütersloh II;05;Sozialdemokratische Partei Deutschlands;240475;;;;196973;;;;1579;;;;195394;;;;53130;;;;50742;;;;31274;;;;5930;;;;27995;;;;;;;;19802;;;;;;;;;;;;;;;;3091;;;;1548;;;;;;;;1882;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Herford – Minden-Lübbecke II;05;Christlich Demokratische Union Deutschlands;223060;;;;181750;;;;1655;;;;180095;;;;52576;;;;54253;;;;12899;;;;5867;;;;38341;;;;;;;;10740;;;;2222;;;;;;;;;;;;2762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;435;;;;;;;;
133;Minden-Lübbecke I;05;Christlich Demokratische Union Deutschlands;199147;;;;163423;;;;1731;;;;161692;;;;39931;;;;51975;;;;15008;;;;5432;;;;35399;;;;;;;;9061;;;;2975;;;;;;;;;;;;;;;;;;;;;;;;1246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665;;;;;;;;
134;Lippe I;05;Christlich Demokratische Union Deutschlands;221604;;;;182679;;;;1922;;;;180757;;;;42552;;;;56640;;;;21911;;;;5474;;;;39427;;;;;;;;10896;;;;3857;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Höxter – Gütersloh III – Lippe II;05;Christlich Demokratische Union Deutschlands;169491;;;;141885;;;;1448;;;;140437;;;;26226;;;;60581;;;;10482;;;;4391;;;;28854;;;;;;;;7421;;;;2482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;Paderborn;05;Christlich Demokratische Union Deutschlands;231585;;;;192337;;;;1467;;;;190870;;;;29097;;;;86833;;;;20143;;;;4528;;;;34928;;;;;;;;11949;;;;;;;;;;;;;;;;3392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Hagen – Ennepe-Ruhr-Kreis I;05;Christlich Demokratische Union Deutschlands;195958;;;;154267;;;;1395;;;;152872;;;;39188;;;;44170;;;;12584;;;;5216;;;;32643;;;;;;;;9095;;;;1784;;;;;;;;;;;;;;;;1445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;232;;;;;;;;;;;;;;;;;;;;;;;;6515;;;;;;;;;;;;;;;;
138;Ennepe-Ruhr-Kreis II;05;Christlich Demokratische Union Deutschlands;170960;;;;142858;;;;1173;;;;141685;;;;42576;;;;43775;;;;14587;;;;4265;;;;23488;;;;;;;;8617;;;;1408;;;;;;;;;;;;2127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;257;;;;;;;;;;;;;;;;;;;;585;;;;;;;;;;;;;;;;;;;;
139;Bochum I;05;Sozialdemokratische Partei Deutschlands;200128;;;;163505;;;;1377;;;;162128;;;;53007;;;;39925;;;;22181;;;;4680;;;;22797;;;;;;;;15273;;;;;;;;;;;;;;;;2795;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;1050;;;;;;;;;;;;;;;;;;;;
140;Herne – Bochum II;05;Sozialdemokratische Partei Deutschlands;170434;;;;132167;;;;1486;;;;130681;;;;43832;;;;31032;;;;11111;;;;2948;;;;28088;;;;;;;;10878;;;;;;;;;;;;;;;;;;;;;;;;;;;;1267;;;;;;;;;;;;;;;;;;;;;;;;;;;;366;;;;;;;;;;;;;;;;;;;;1159;;;;;;;;;;;;;;;;;;;;
141;Dortmund I;05;Sozialdemokratische Partei Deutschlands;203655;;;;165438;;;;1351;;;;164087;;;;50260;;;;38929;;;;22994;;;;4857;;;;26057;;;;;;;;15048;;;;;;;;;;;;;;;;3053;;;;;;;;;;;;1889;;;;;;;;;;;;;;;;;;;;;;;;;;;;401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599;;;;
142;Dortmund II;05;Sozialdemokratische Partei Deutschlands;195508;;;;154308;;;;1538;;;;152770;;;;49553;;;;37891;;;;15742;;;;4047;;;;28240;;;;;;;;13794;;;;;;;;;;;;;;;;3503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Unna I;05;Sozialdemokratische Partei Deutschlands;190464;;;;157467;;;;1408;;;;156059;;;;49685;;;;46509;;;;14059;;;;3974;;;;29070;;;;;;;;9491;;;;;;;;;;;;;;;;;;;;;;;;;;;;1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1323;;;;;;;;;;;;;;;;;;;;
144;Hamm – Unna II;05;Sozialdemokratische Partei Deutschlands;227760;;;;181924;;;;1686;;;;180238;;;;58097;;;;54186;;;;11476;;;;4786;;;;38828;;;;;;;;12865;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;Soest;05;Christlich Demokratische Union Deutschlands;229384;;;;190466;;;;1445;;;;189021;;;;42544;;;;70487;;;;18133;;;;7449;;;;36727;;;;;;;;11144;;;;2537;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Hochsauerlandkreis;05;Christlich Demokratische Union Deutschlands;196716;;;;165006;;;;1008;;;;163998;;;;35080;;;;78259;;;;10024;;;;4120;;;;26087;;;;;;;;7655;;;;2773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Siegen-Wittgenstein;05;Christlich Demokratische Union Deutschlands;202346;;;;168074;;;;1282;;;;166792;;;;40824;;;;56827;;;;12486;;;;5300;;;;34138;;;;;;;;10735;;;;2344;;;;;;;;;;;;2179;;;;;;;;;;;;1288;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;671;;;;;;;;
148;Olpe – Märkischer Kreis I;05;Christlich Demokratische Union Deutschlands;198932;;;;163294;;;;1362;;;;161932;;;;33640;;;;68241;;;;10191;;;;5650;;;;32358;;;;;;;;8231;;;;2102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1519;;;;
149;Märkischer Kreis II;05;Christlich Demokratische Union Deutschlands;191152;;;;153042;;;;1242;;;;151800;;;;34522;;;;58968;;;;9878;;;;4578;;;;31658;;;;;;;;9917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1318;;;;;;;;;;;;;;;;961;;;;
05;Nordrhein-Westfalen;99;;12884209;;;;10587740;;;;97311;;;;10490429;;;;2633792;;;;3566853;;;;1230253;;;;349157;;;;1720896;;;;;;;;714177;;;;113892;;;;;;;;;;;;33497;;;;5089;;;;;;;;79713;;;;;;;;;;;;;;;;;;;;;;;;;;;;7435;;;;;;;;1282;;;;;;;;;;;;16093;;;;6515;;;;;;;;2849;;;;8936;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Nordsachsen;14;Alternative für Deutschland;158475;;;;126905;;;;1179;;;;125726;;;;12554;;;;31398;;;;3090;;;;2684;;;;55024;;;;;;;;10502;;;;7092;;;;;;;;;;;;1523;;;;;;;;;;;;906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;953;;;;;;;;;;;;;;;;;;;;
151;Leipzig I;14;–;225020;;;;183932;;;;970;;;;182962;;;;21472;;;;39286;;;;13796;;;;3828;;;;45730;;;;;;;;39377;;;;2186;;;;;;;;;;;;2279;;;;;;;;;;;;1809;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;;;;;;;;;;;;;;;;;;;;382;;;;11727;;;;;;;;;;;;800;;;;
152;Leipzig II;14;Die Linke;232750;;;;195980;;;;817;;;;195163;;;;16615;;;;31270;;;;19954;;;;3987;;;;36549;;;;;;;;71811;;;;2005;;;;;;;;;;;;2058;;;;;;;;;;;;;;;;;;;;;;;;;;;;407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;394;;;;10113;;;;;;;;;;;;;;;;
153;Leipzig-Land;14;Alternative für Deutschland;210845;;;;172244;;;;1220;;;;171024;;;;18676;;;;42046;;;;6053;;;;4395;;;;65318;;;;;;;;14944;;;;8207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10899;;;;;;;;;;;;;;;;
154;Meißen;14;Alternative für Deutschland;193052;;;;157184;;;;1486;;;;155698;;;;11413;;;;37049;;;;6529;;;;8223;;;;70572;;;;;;;;14695;;;;5610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1607;;;;;;;;;;;;;;;;;;;;
155;Bautzen I;14;Alternative für Deutschland;200639;;;;161774;;;;1558;;;;160216;;;;11384;;;;38643;;;;3484;;;;4199;;;;77339;;;;;;;;15654;;;;8050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1463;;;;;;;;;;;;;;;;;;;;
156;Görlitz;14;Alternative für Deutschland;196873;;;;155057;;;;1280;;;;153777;;;;9626;;;;37197;;;;4659;;;;2952;;;;75147;;;;;;;;9795;;;;3588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;981;;;;9832;;;;;;;;;;;;;;;;
157;Sächsische Schweiz-Osterzgebirge;14;Alternative für Deutschland;196612;;;;160372;;;;1630;;;;158742;;;;12766;;;;35961;;;;4751;;;;4478;;;;77901;;;;;;;;14523;;;;7008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1354;;;;;;;;;;;;;;;;;;;;
158;Dresden I;14;Alternative für Deutschland;225103;;;;184922;;;;1857;;;;183065;;;;21457;;;;50040;;;;19899;;;;6229;;;;53853;;;;;;;;26085;;;;;;;;;;;;;;;;;;;;;;;;;;;;3482;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020;;;;;;;;;;;;;;;;;;;;
159;Dresden II – Bautzen II;14;Alternative für Deutschland;233483;;;;196333;;;;1555;;;;194778;;;;18245;;;;47107;;;;22140;;;;5130;;;;58238;;;;;;;;31961;;;;3253;;;;;;;;;;;;3145;;;;;;;;;;;;3724;;;;;;;;;;;;;;;;;;;;;;;;;;;;337;;;;;;;;;;;;;;;;;;;;1498;;;;;;;;;;;;;;;;;;;;
160;Mittelsachsen;14;Alternative für Deutschland;188107;;;;148354;;;;1326;;;;147028;;;;13321;;;;39665;;;;3680;;;;4284;;;;66688;;;;;;;;13234;;;;6156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;Chemnitz;14;Alternative für Deutschland;183295;;;;144921;;;;774;;;;144147;;;;24128;;;;30868;;;;6554;;;;3314;;;;46401;;;;;;;;14349;;;;2066;;;;;;;;;;;;1511;;;;;;;;;;;;845;;;;;;;;;;;;;;;;365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;556;;;;13190;;;;;;;;;;;;;;;;
162;Chemnitzer Umland – Erzgebirgskreis II;14;Alternative für Deutschland;172020;;;;140055;;;;1873;;;;138182;;;;16139;;;;38304;;;;3828;;;;4655;;;;61027;;;;;;;;14229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;Erzgebirgskreis I;14;Alternative für Deutschland;202990;;;;164320;;;;1683;;;;162637;;;;10741;;;;40716;;;;2597;;;;3579;;;;75876;;;;;;;;11121;;;;5544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10288;;;;;;;;;;;;2175;;;;
164;Zwickau;14;Alternative für Deutschland;189565;;;;150838;;;;1198;;;;149640;;;;14837;;;;35506;;;;3485;;;;4279;;;;59725;;;;;;;;11214;;;;4712;;;;;;;;;;;;1772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145;;;;;;;;;;;;;;;;;;;;458;;;;13507;;;;;;;;;;;;;;;;
165;Vogtlandkreis;14;Alternative für Deutschland;177951;;;;141586;;;;1596;;;;139990;;;;13975;;;;37770;;;;4526;;;;3413;;;;60672;;;;;;;;13336;;;;6298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sachsen;99;;3186780;;;;2584777;;;;22002;;;;2562775;;;;247349;;;;612826;;;;129025;;;;69629;;;;986060;;;;;;;;326830;;;;71775;;;;;;;;;;;;12288;;;;;;;;;;;;10766;;;;;;;;;;;;;;;;1258;;;;;;;;;;;;772;;;;;;;;;;;;;;;;;;;;11666;;;;79556;;;;;;;;;;;;2975;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Waldeck;06;Christlich Demokratische Union Deutschlands;180475;;;;150082;;;;1642;;;;148440;;;;41883;;;;46166;;;;10559;;;;4863;;;;31701;;;;;;;;8462;;;;4806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;Kassel;06;Sozialdemokratische Partei Deutschlands;214132;;;;175165;;;;2070;;;;173095;;;;47900;;;;42004;;;;24338;;;;4735;;;;28126;;;;;;;;20203;;;;2934;;;;;;;;;;;;;;;;;;;;;;;;2489;;;;;;;;;;;;;;;;;;;;;;;;;;;;366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;Werra-Meißner – Hersfeld-Rotenburg;06;Christlich Demokratische Union Deutschlands;167770;;;;138607;;;;1639;;;;136968;;;;38010;;;;44173;;;;7357;;;;3326;;;;30926;;;;;;;;7246;;;;3961;;;;;;;;;;;;;;;;;;;;;;;;1367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;602;;;;
169;Schwalm-Eder;06;–;182420;;;;153589;;;;1871;;;;151718;;;;42943;;;;45647;;;;8705;;;;4329;;;;36357;;;;;;;;7974;;;;5763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;Marburg;06;Sozialdemokratische Partei Deutschlands;179872;;;;152353;;;;1186;;;;151167;;;;45774;;;;44014;;;;13738;;;;3481;;;;27633;;;;;;;;11452;;;;2642;;;;;;;;;;;;;;;;;;;;;;;;1496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;937;;;;
171;Lahn-Dill;06;Christlich Demokratische Union Deutschlands;203567;;;;166049;;;;1655;;;;164394;;;;39533;;;;56424;;;;11201;;;;4544;;;;37998;;;;;;;;8677;;;;3807;;;;;;;;;;;;;;;;;;;;;;;;2210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;Gießen;06;Christlich Demokratische Union Deutschlands;215142;;;;178656;;;;1718;;;;176938;;;;49204;;;;53851;;;;15276;;;;4906;;;;33541;;;;;;;;12444;;;;5122;;;;;;;;;;;;;;;;;;;;;;;;2594;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;Fulda;06;Christlich Demokratische Union Deutschlands;206544;;;;174948;;;;1451;;;;173497;;;;23675;;;;75039;;;;11460;;;;5969;;;;39790;;;;;;;;7262;;;;6093;;;;;;;;;;;;1607;;;;;;;;;;;;1902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;;;;;;;;;;;;;;;;;;
174;Main-Kinzig – Wetterau II – Schotten;06;Christlich Demokratische Union Deutschlands;175443;;;;146914;;;;1610;;;;145304;;;;29795;;;;49611;;;;10738;;;;4755;;;;36231;;;;;;;;7064;;;;4511;;;;;;;;;;;;;;;;;;;;;;;;1722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;877;;;;;;;;;;;;;;;;;;;;
