Nr;Gebiet;gehört zu;Gewählt;Wahlberechtigte;;;;Wählende;;;;Ungültige Stimmen;;;;Gültige Stimmen;;;;Sozialdemokratische Partei Deutschlands;;;;Christlich Demokratische Union Deutschlands;;;;BÜNDNIS 90/DIE GRÜNEN;;;;Freie Demokratische Partei;;;;Alternative für Deutschland;;;;Christlich-Soziale Union in Bayern e.V.;;;;Die Linke;;;;FREIE WÄHLER;;;;PARTEI MENSCH UMWELT TIERSCHUTZ;;;;Basisdemokratische Partei Deutschland;;;;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;;;;Die Gerechtigkeitspartei – Team Todenhöfer;;;;Piratenpartei Deutschland;;;;Volt Deutschland;;;;Ökologisch-Demokratische Partei - Die Naturschutzpartei;;;;Südschleswigscher Wählerverband;;;;Partei für Verjüngungsforschung;;;;Partei der Humanisten - Fakten, Freiheit, Fortschritt;;;;Bündnis C - Christen für Deutschland;;;;Bayernpartei;;;;Marxistisch-Leninistische Partei Deutschlands;;;;Menschliche Welt - für das Wohl und Glücklichsein aller;;;;Partei des Fortschritts;;;;Sozialistische Gleichheitspartei, Vierte Internationale;;;;Bürgerrechtsbewegung Solidarität;;;;BÜNDNIS DEUTSCHLAND;;;;Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit;;;;MERA25 - Gemeinsam für Europäische Unabhängigkeit;;;;WerteUnion;;;;Übrige;;;;
175;Hochtaunus;06;Christlich Demokratische Union Deutschlands;178433;;;;152705;;;;1346;;;;151359;;;;29458;;;;57261;;;;18418;;;;7275;;;;25045;;;;;;;;8108;;;;3299;;;;;;;;;;;;;;;;;;;;;;;;2495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;Wetterau I;06;Christlich Demokratische Union Deutschlands;176870;;;;149796;;;;1441;;;;148355;;;;38192;;;;49929;;;;14407;;;;5766;;;;25930;;;;;;;;7726;;;;3830;;;;;;;;;;;;;;;;;;;;;;;;2575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;Rheingau-Taunus – Limburg;06;Christlich Demokratische Union Deutschlands;217091;;;;182782;;;;1718;;;;181064;;;;40101;;;;66648;;;;19472;;;;7660;;;;31379;;;;;;;;9026;;;;3890;;;;;;;;;;;;;;;;;;;;;;;;2888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;Wiesbaden;06;Christlich Demokratische Union Deutschlands;186038;;;;148215;;;;1453;;;;146762;;;;32697;;;;44997;;;;21876;;;;5944;;;;20406;;;;;;;;15408;;;;2317;;;;;;;;;;;;;;;;;;;;;;;;3117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
179;Hanau;06;Christlich Demokratische Union Deutschlands;175243;;;;143429;;;;1530;;;;141899;;;;35906;;;;45346;;;;12134;;;;5177;;;;27150;;;;;;;;10745;;;;3340;;;;;;;;;;;;;;;;;;;;;;;;2101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;Main-Taunus;06;Christlich Demokratische Union Deutschlands;193390;;;;165885;;;;1321;;;;164564;;;;29238;;;;65495;;;;23001;;;;8847;;;;21541;;;;;;;;9860;;;;2962;;;;;;;;;;;;;;;;;;;;;;;;2691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;929;;;;;;;;;;;;;;;;;;;;
181;Frankfurt am Main I;06;–;202372;;;;160179;;;;1547;;;;158632;;;;40832;;;;41232;;;;25756;;;;7418;;;;17067;;;;;;;;20329;;;;1465;;;;;;;;;;;;1693;;;;;;;;;;;;2517;;;;;;;;;;;;;;;;;;;;;;;;;;;;323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;Frankfurt am Main II;06;–;230870;;;;191532;;;;1467;;;;190065;;;;35101;;;;52010;;;;50207;;;;8773;;;;17449;;;;;;;;18780;;;;1500;;;;;;;;;;;;1849;;;;;;;;;;;;3201;;;;;;;;;;;;;;;;;;;;;;;;;;;;225;;;;;;;;;;;;;;;;;;;;534;;;;;;;;;;;;;;;;436;;;;
183;Groß-Gerau;06;–;172314;;;;140680;;;;1682;;;;138998;;;;40121;;;;42181;;;;11195;;;;4667;;;;22816;;;;;;;;12390;;;;3442;;;;;;;;;;;;;;;;;;;;;;;;1896;;;;;;;;;;;;;;;;;;;;;;;;;;;;290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;Offenbach;06;Christlich Demokratische Union Deutschlands;218352;;;;174373;;;;1846;;;;172527;;;;38384;;;;53821;;;;25416;;;;6606;;;;26300;;;;;;;;17841;;;;4159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;Darmstadt;06;–;239490;;;;202987;;;;1726;;;;201261;;;;42398;;;;53802;;;;43629;;;;6626;;;;27391;;;;;;;;15384;;;;2038;;;;2772;;;;;;;;1855;;;;;;;;;;;;5122;;;;;;;;;;;;;;;;;;;;;;;;;;;;244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;Odenwald;06;Christlich Demokratische Union Deutschlands;230672;;;;194831;;;;2207;;;;192624;;;;47730;;;;65470;;;;17327;;;;6825;;;;35564;;;;;;;;11704;;;;5264;;;;;;;;;;;;;;;;;;;;;;;;2740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;Bergstraße;06;Christlich Demokratische Union Deutschlands;195419;;;;164877;;;;1676;;;;163201;;;;34219;;;;59209;;;;14917;;;;6289;;;;33328;;;;;;;;8822;;;;3650;;;;;;;;;;;;;;;;;;;;;;;;2767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06;Hessen;99;;4341919;;;;3608634;;;;35802;;;;3572832;;;;843094;;;;1154330;;;;411127;;;;128781;;;;633669;;;;;;;;256907;;;;80795;;;;2772;;;;;;;;7004;;;;;;;;;;;;47890;;;;;;;;;;;;;;;;;;;;;;;;;;;;1448;;;;;;;;;;;;;;;;;;;;3040;;;;;;;;;;;;;;;;1975;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;Alternative für Deutschland;206544;;;;165873;;;;1355;;;;164518;;;;14361;;;;45728;;;;3000;;;;3815;;;;65033;;;;;;;;19527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;342;;;;;;;;;;;;;;;;;;;;;;;;12712;;;;;;;;;;;;;;;;
189;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;Alternative für Deutschland;201183;;;;159955;;;;1306;;;;158649;;;;18892;;;;35936;;;;3882;;;;2345;;;;61095;;;;;;;;16030;;;;3765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;338;;;;;;;;;;;;;;;;;;;;;;;;12824;;;;;;;;;;;;3542;;;;
190;Jena – Sömmerda – Weimarer Land I;16;Alternative für Deutschland;194202;;;;161207;;;;1119;;;;160088;;;;18734;;;;29661;;;;9587;;;;3655;;;;52003;;;;;;;;31247;;;;3415;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333;;;;;;;;;;;;;;;;;;;;;;;;11453;;;;;;;;;;;;;;;;
191;Gotha – Ilm-Kreis;16;Alternative für Deutschland;184279;;;;147985;;;;1353;;;;146632;;;;14681;;;;29345;;;;4403;;;;2998;;;;60354;;;;;;;;18753;;;;3236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11660;;;;;;;;;;;;1202;;;;
192;Erfurt – Weimar – Weimarer Land II;16;Die Linke;214387;;;;175940;;;;1073;;;;174867;;;;13900;;;;28587;;;;5458;;;;3350;;;;46612;;;;;;;;64390;;;;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353;;;;;;;;;;;;;;;;;;;;;;;;10299;;;;;;;;;;;;;;;;
193;Gera – Greiz – Altenburger Land;16;Alternative für Deutschland;220281;;;;173700;;;;1422;;;;172278;;;;18698;;;;34406;;;;3323;;;;3918;;;;77161;;;;;;;;20441;;;;3416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10915;;;;;;;;;;;;;;;;
194;Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis;16;Alternative für Deutschland;211519;;;;172602;;;;1268;;;;171334;;;;14261;;;;35224;;;;4340;;;;3835;;;;76204;;;;;;;;21114;;;;3941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12415;;;;;;;;;;;;;;;;
195;Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg;16;Alternative für Deutschland;220067;;;;176212;;;;1352;;;;174860;;;;18315;;;;33940;;;;2829;;;;4205;;;;73608;;;;;;;;18445;;;;6140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;312;;;;;;;;;;;;;;;;;;;;;;;;14697;;;;;;;;;;;;2369;;;;
16;Thüringen;99;;1652462;;;;1333474;;;;10248;;;;1323226;;;;131842;;;;272827;;;;36822;;;;28121;;;;512070;;;;;;;;209947;;;;25831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1678;;;;;;;;;;;;;;;;;;;;;;;;96975;;;;;;;;;;;;7113;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;Neuwied;07;Christlich Demokratische Union Deutschlands;236097;;;;194324;;;;1931;;;;192393;;;;42314;;;;68501;;;;11921;;;;6858;;;;40365;;;;;;;;9689;;;;4345;;;;;;;;;;;;;;;;;;;;;;;;1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6445;;;;;;;;;;;;;;;;
197;Ahrweiler;07;Christlich Demokratische Union Deutschlands;191196;;;;159650;;;;1701;;;;157949;;;;30537;;;;62011;;;;14413;;;;5283;;;;28335;;;;;;;;8220;;;;5584;;;;;;;;;;;;;;;;;;;;;;;;2015;;;;831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;720;;;;;;;;;;;;;;;;;;;;
198;Koblenz;07;Christlich Demokratische Union Deutschlands;189667;;;;155931;;;;1639;;;;154292;;;;37659;;;;55097;;;;15001;;;;4703;;;;24836;;;;;;;;9028;;;;5858;;;;;;;;;;;;;;;;;;;;;;;;2110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;Mosel/Rhein-Hunsrück;07;Christlich Demokratische Union Deutschlands;168705;;;;142248;;;;2063;;;;140185;;;;27079;;;;53505;;;;10039;;;;7588;;;;27060;;;;;;;;6494;;;;6009;;;;;;;;;;;;;;;;;;;;;;;;1282;;;;1129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;Kreuznach;07;Christlich Demokratische Union Deutschlands;179523;;;;146442;;;;1506;;;;144936;;;;38082;;;;46768;;;;7765;;;;4714;;;;30688;;;;;;;;6352;;;;4404;;;;;;;;;;;;;;;;;;;;;;;;1441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4722;;;;;;;;;;;;;;;;
201;Bitburg;07;Christlich Demokratische Union Deutschlands;161542;;;;134533;;;;1558;;;;132975;;;;27098;;;;53459;;;;7362;;;;4155;;;;22265;;;;;;;;4893;;;;11825;;;;;;;;;;;;;;;;;;;;;;;;1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;Trier;07;–;187569;;;;156721;;;;1422;;;;155299;;;;46951;;;;47826;;;;12843;;;;6148;;;;22088;;;;;;;;7791;;;;4125;;;;;;;;;;;;;;;;;;;;;;;;1558;;;;618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5351;;;;;;;;;;;;;;;;
203;Montabaur;07;Christlich Demokratische Union Deutschlands;209443;;;;174499;;;;2175;;;;172324;;;;40294;;;;61574;;;;10832;;;;5462;;;;35321;;;;;;;;8709;;;;5923;;;;4209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;Mainz;07;–;251074;;;;214618;;;;1926;;;;212692;;;;50411;;;;57966;;;;40617;;;;8024;;;;21665;;;;;;;;19474;;;;3013;;;;;;;;;;;;1440;;;;;;;;;;;;4086;;;;1033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4963;;;;;;;;;;;;;;;;
205;Worms;07;Christlich Demokratische Union Deutschlands;211986;;;;178184;;;;1929;;;;176255;;;;39042;;;;62290;;;;13996;;;;5171;;;;35866;;;;;;;;8638;;;;3857;;;;;;;;;;;;;;;;;;;;;;;;2392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4401;;;;;;;;;;;;602;;;;
206;Ludwigshafen/Frankenthal;07;–;205998;;;;163099;;;;2068;;;;161031;;;;42213;;;;43627;;;;12367;;;;5737;;;;37117;;;;;;;;7794;;;;4621;;;;;;;;;;;;;;;;;;;;;;;;1481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;629;;;;5445;;;;;;;;;;;;;;;;
207;Neustadt – Speyer;07;Christlich Demokratische Union Deutschlands;216200;;;;182125;;;;1703;;;;180422;;;;39569;;;;62590;;;;16914;;;;5582;;;;35237;;;;;;;;7122;;;;4894;;;;;;;;;;;;;;;;;;;;;;;;2511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;507;;;;5496;;;;;;;;;;;;;;;;
208;Kaiserslautern;07;Sozialdemokratische Partei Deutschlands;219842;;;;179205;;;;2320;;;;176885;;;;49464;;;;42591;;;;10099;;;;5138;;;;45160;;;;;;;;7396;;;;7385;;;;;;;;;;;;;;;;;;;;;;;;1576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;448;;;;7628;;;;;;;;;;;;;;;;
209;Pirmasens;07;Christlich Demokratische Union Deutschlands;169645;;;;139067;;;;1840;;;;137227;;;;28474;;;;45682;;;;6112;;;;4078;;;;34424;;;;;;;;4924;;;;4632;;;;3840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;234;;;;4827;;;;;;;;;;;;;;;;
210;Südpfalz;07;Christlich Demokratische Union Deutschlands;215995;;;;179902;;;;1716;;;;178186;;;;34274;;;;68124;;;;13799;;;;4686;;;;35587;;;;;;;;7114;;;;4097;;;;3060;;;;;;;;;;;;;;;;;;;;2084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5361;;;;;;;;;;;;;;;;
07;Rheinland-Pfalz;99;;3014482;;;;2500548;;;;27497;;;;2473051;;;;573461;;;;831611;;;;204080;;;;83327;;;;476014;;;;;;;;123638;;;;80572;;;;11109;;;;;;;;1440;;;;;;;;;;;;26409;;;;3611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2538;;;;54639;;;;;;;;;;;;602;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
211;Altötting;09;Christlich-Soziale Union in Bayern e.V.;168462;;;;137701;;;;734;;;;136967;;;;11870;;;;;;;;10399;;;;3994;;;;32269;;;;60164;;;;5867;;;;8637;;;;;;;;1580;;;;;;;;;;;;;;;;;;;;2187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
212;Erding – Ebersberg;09;Christlich-Soziale Union in Bayern e.V.;201029;;;;175164;;;;721;;;;174443;;;;17609;;;;;;;;23383;;;;6324;;;;27275;;;;80087;;;;6856;;;;7059;;;;;;;;;;;;;;;;;;;;;;;;2012;;;;2472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1366;;;;
213;Freising;09;Christlich-Soziale Union in Bayern e.V.;238829;;;;204980;;;;913;;;;204067;;;;23356;;;;;;;;25718;;;;5803;;;;36965;;;;88025;;;;8630;;;;13208;;;;;;;;2362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
214;Fürstenfeldbruck;09;Christlich-Soziale Union in Bayern e.V.;230710;;;;199398;;;;799;;;;198599;;;;29795;;;;;;;;23886;;;;8748;;;;27997;;;;84651;;;;7313;;;;8829;;;;2869;;;;;;;;;;;;;;;;;;;;2541;;;;1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;Ingolstadt;09;Christlich-Soziale Union in Bayern e.V.;237848;;;;195987;;;;900;;;;195087;;;;21556;;;;;;;;14531;;;;3711;;;;39220;;;;91839;;;;7731;;;;9909;;;;2003;;;;;;;;1386;;;;;;;;;;;;1574;;;;1627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
216;München-Nord;09;Christlich-Soziale Union in Bayern e.V.;223701;;;;185631;;;;976;;;;184655;;;;36495;;;;;;;;44708;;;;8536;;;;16684;;;;59875;;;;12123;;;;2700;;;;;;;;;;;;;;;;;;;;;;;;3010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;524;;;;;;;;;;;;;;;;;;;;
217;München-Ost;09;Christlich-Soziale Union in Bayern e.V.;243744;;;;205040;;;;1037;;;;204003;;;;31546;;;;;;;;49442;;;;8278;;;;18451;;;;74027;;;;12477;;;;3649;;;;;;;;;;;;2052;;;;;;;;;;;;4081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;München-Süd;09;–;214947;;;;181255;;;;623;;;;180632;;;;26461;;;;;;;;53775;;;;7171;;;;15876;;;;54859;;;;9825;;;;2364;;;;1646;;;;;;;;1172;;;;;;;;;;;;2787;;;;;;;;;;;;;;;;;;;;;;;;;;;;103;;;;;;;;;;;;;;;;;;;;;;;;4593;;;;;;;;;;;;;;;;
219;München-West/Mitte;09;Christlich-Soziale Union in Bayern e.V.;246574;;;;210862;;;;2726;;;;208136;;;;33018;;;;;;;;60243;;;;10329;;;;;;;;72200;;;;12683;;;;6366;;;;3681;;;;;;;;2248;;;;;;;;;;;;4401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1675;;;;;;;;;;;;;;;;1292;;;;
220;München-Land;09;Christlich-Soziale Union in Bayern e.V.;234884;;;;205548;;;;779;;;;204769;;;;27306;;;;;;;;40045;;;;8786;;;;22924;;;;88204;;;;8428;;;;6071;;;;3005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;Rosenheim;09;Christlich-Soziale Union in Bayern e.V.;238910;;;;201583;;;;894;;;;200689;;;;17916;;;;;;;;25196;;;;5724;;;;36813;;;;82023;;;;9152;;;;16037;;;;2711;;;;2341;;;;;;;;;;;;;;;;1893;;;;;;;;;;;;;;;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;533;;;;;;;;;;;;;;;;;;;;
222;Bad Tölz-Wolfratshausen – Miesbach;09;Christlich-Soziale Union in Bayern e.V.;165895;;;;141799;;;;653;;;;141146;;;;10901;;;;;;;;20820;;;;4754;;;;23291;;;;65481;;;;4694;;;;7226;;;;;;;;;;;;;;;;;;;;;;;;1107;;;;1270;;;;;;;;;;;;;;;;;;;;1602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
223;Starnberg – Landsberg am Lech;09;Christlich-Soziale Union in Bayern e.V.;215624;;;;188310;;;;764;;;;187546;;;;24177;;;;;;;;31311;;;;6665;;;;24187;;;;80441;;;;6449;;;;6051;;;;2430;;;;1520;;;;1499;;;;;;;;;;;;2118;;;;;;;;;;;;;;;;;;;;;;;;698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
224;Traunstein;09;Christlich-Soziale Union in Bayern e.V.;209020;;;;172572;;;;822;;;;171750;;;;20845;;;;;;;;14985;;;;3270;;;;30994;;;;80507;;;;6884;;;;10690;;;;;;;;1796;;;;;;;;;;;;;;;;;;;;1779;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;Weilheim;09;Christlich-Soziale Union in Bayern e.V.;168111;;;;143698;;;;782;;;;142916;;;;13489;;;;;;;;18128;;;;6356;;;;22169;;;;65409;;;;5698;;;;7936;;;;;;;;;;;;;;;;;;;;;;;;1400;;;;2331;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;Deggendorf;09;Christlich-Soziale Union in Bayern e.V.;165283;;;;135485;;;;675;;;;134810;;;;12156;;;;;;;;6354;;;;5188;;;;36406;;;;58347;;;;3070;;;;11370;;;;;;;;;;;;;;;;;;;;;;;;820;;;;;;;;;;;;;;;;;;;;;;;;1099;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;Landshut;09;Christlich-Soziale Union in Bayern e.V.;247907;;;;208132;;;;828;;;;207304;;;;18800;;;;;;;;17125;;;;6437;;;;42123;;;;70986;;;;7562;;;;38342;;;;2093;;;;;;;;;;;;;;;;;;;;1072;;;;1892;;;;;;;;;;;;;;;;;;;;872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
228;Passau;09;Christlich-Soziale Union in Bayern e.V.;176118;;;;144115;;;;595;;;;143520;;;;20121;;;;;;;;7425;;;;3072;;;;33776;;;;58538;;;;4161;;;;9198;;;;;;;;;;;;;;;;;;;;;;;;799;;;;2626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3804;;;;;;;;;;;;;;;;
229;Rottal-Inn;09;Christlich-Soziale Union in Bayern e.V.;172941;;;;142709;;;;639;;;;142070;;;;9947;;;;;;;;7688;;;;2625;;;;32885;;;;49582;;;;4167;;;;32668;;;;;;;;;;;;;;;;;;;;;;;;897;;;;1611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;Straubing;09;Christlich-Soziale Union in Bayern e.V.;172522;;;;141540;;;;597;;;;140943;;;;11132;;;;;;;;7241;;;;2715;;;;36673;;;;65291;;;;4394;;;;11139;;;;;;;;;;;;;;;;;;;;;;;;;;;;1877;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;481;;;;;;;;;;;;;;;;;;;;
231;Amberg;09;Christlich-Soziale Union in Bayern e.V.;214379;;;;181941;;;;808;;;;181133;;;;19705;;;;;;;;12177;;;;4698;;;;38359;;;;80626;;;;7316;;;;12883;;;;;;;;1607;;;;;;;;;;;;;;;;1402;;;;1748;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;612;;;;;;;;;;;;;;;;;;;;
232;Regensburg;09;Christlich-Soziale Union in Bayern e.V.;250984;;;;212696;;;;729;;;;211967;;;;27626;;;;;;;;27741;;;;5229;;;;37964;;;;81105;;;;9736;;;;11214;;;;2051;;;;;;;;;;;;;;;;;;;;2172;;;;1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;323;;;;5151;;;;;;;;;;;;;;;;
233;Schwandorf;09;Christlich-Soziale Union in Bayern e.V.;220950;;;;185033;;;;883;;;;184150;;;;25534;;;;;;;;7516;;;;3432;;;;49695;;;;77717;;;;4914;;;;13591;;;;;;;;;;;;;;;;;;;;;;;;;;;;1231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;;;;;;;;;;;;;;;;;;;;
234;Weiden;09;Christlich-Soziale Union in Bayern e.V.;162689;;;;136787;;;;641;;;;136146;;;;16294;;;;;;;;6624;;;;4126;;;;31352;;;;59268;;;;5591;;;;9673;;;;;;;;;;;;;;;;;;;;;;;;;;;;787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2431;;;;
235;Bamberg;09;Christlich-Soziale Union in Bayern e.V.;181281;;;;155529;;;;661;;;;154868;;;;22569;;;;;;;;20762;;;;4709;;;;28891;;;;61044;;;;7914;;;;6174;;;;;;;;;;;;;;;;;;;;;;;;1797;;;;1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
236;Bayreuth;09;Christlich-Soziale Union in Bayern e.V.;159361;;;;134067;;;;602;;;;133465;;;;19031;;;;;;;;10999;;;;3680;;;;25144;;;;59366;;;;6117;;;;6741;;;;;;;;990;;;;;;;;;;;;;;;;1397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
